baseline,model,n_rows,MAE,RMSE
OC25 (eV),linear_calibrated,35,0.059742553573691445,0.0735888526268291
OC25 (eV),constant_bias_corrected,35,0.27211232242245004,0.29986391844472593
OC25 (eV),raw_baseline,35,0.7936207752912862,0.8473666859459023
UMA (eV),linear_calibrated,35,0.571515532774266,0.7496991866615301
UMA (eV),constant_bias_corrected,35,1.190753586540883,1.2553690124750962
UMA (eV),raw_baseline,35,3.271226207564088,3.499528059816445
